participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
4792,15,65,4,684.0,Pre,image5.jpg,Classical_1.mp3,Image,7.0,4.0,7.0,4.0,image5.jpg,,5.5,7.0,-3.0
4792,16,66,1,805.699999988079,Pre,image33.jpg,Classical_8.mp3,Both,1.0,5.0,,,image33.jpg,Classical_8.mp3,3.0,3.0,-2.0
4792,17,67,1,1079.10000002384,Pre,image36.jpg,Cut_jazz_10.mp3,Both,1.0,2.0,,,image36.jpg,Cut_jazz_10.mp3,1.5,1.5,-0.5
4792,18,68,1,980.799999952316,Pre,image3.jpg,Classical_18.mp3,Image,1.0,4.0,1.0,4.0,image3.jpg,,2.5,1.0,0.0
4792,19,69,1,827.5,Pre,image33.jpg,Classical_7.mp3,Image,1.0,4.0,1.0,4.0,image33.jpg,,2.5,1.0,0.0
4792,20,70,9,1448.0,Pre,image1.jpg,Cut_jazz_2.mp3,Both,2.0,5.0,,,image1.jpg,Cut_jazz_2.mp3,3.5,3.5,5.5
4792,21,71,9,989.899999976158,Pre,image4.jpg,Cut_jazz_7.mp3,Music,1.0,8.0,8.0,1.0,,Cut_jazz_7.mp3,4.5,8.0,1.0
4792,22,72,2,1039.69999998808,Pre,image20.jpg,Classical_17.mp3,Both,6.0,3.0,,,image20.jpg,Classical_17.mp3,4.5,4.5,-2.5
4792,23,73,1,814.899999976158,Pre,image17.jpg,Cut_jazz_16.mp3,Music,2.0,1.0,1.0,2.0,,Cut_jazz_16.mp3,1.5,1.0,0.0
4792,24,74,1,853.699999988079,Pre,image20.jpg,Classical_15.mp3,Image,6.0,3.0,6.0,3.0,image20.jpg,,4.5,6.0,-5.0
4792,25,75,2,1203.80000001192,Pre,image14.jpg,Cut_jazz_14.mp3,Music,1.0,3.0,3.0,1.0,,Cut_jazz_14.mp3,2.0,3.0,-1.0
4792,26,76,1,1458.19999998808,Pre,image2.jpg,Classical_15.mp3,Music,2.0,3.0,3.0,2.0,,Classical_15.mp3,2.5,3.0,-2.0
4792,27,77,1,730.699999988079,Pre,image36.jpg,Cut_jazz_7.mp3,Image,1.0,8.0,1.0,8.0,image36.jpg,,4.5,1.0,0.0
4792,28,78,1,630.200000047684,Pre,image14.jpg,Cut_jazz_16.mp3,Image,1.0,1.0,1.0,1.0,image14.jpg,,1.0,1.0,0.0
4792,29,79,2,1346.19999998808,Pre,image33.jpg,Classical_6.mp3,Music,1.0,1.0,1.0,1.0,,Classical_6.mp3,1.0,1.0,1.0
4792,30,80,2,2410.40000003576,Pre,image5.jpg,Classical_4.mp3,Music,7.0,1.0,1.0,7.0,,Classical_4.mp3,4.0,1.0,1.0
4792,31,81,1,1320.69999998808,Pre,image17.jpg,Cut_jazz_19.mp3,Image,2.0,7.0,2.0,7.0,image17.jpg,,4.5,2.0,-1.0
4792,32,82,1,1127.09999996424,Pre,image2.jpg,Classical_18.mp3,Both,2.0,4.0,,,image2.jpg,Classical_18.mp3,3.0,3.0,-2.0
4792,33,83,2,1532.80000001192,Pre,image52.jpg,Classical_4.mp3,Image,8.0,1.0,8.0,1.0,image52.jpg,,4.5,8.0,-6.0
4792,34,84,1,2125.30000001192,Pre,image10.jpg,Cut_jazz_1.mp3,Both,1.0,2.0,,,image10.jpg,Cut_jazz_1.mp3,1.5,1.5,-0.5
4792,35,85,9,1274.19999998808,Pre,image12.jpg,Classical_19.mp3,Both,3.0,5.0,,,image12.jpg,Classical_19.mp3,4.0,4.0,5.0
4792,36,86,4,2096.60000002384,Pre,image35.jpg,Classical_8.mp3,Image,1.0,5.0,1.0,5.0,image35.jpg,,3.0,1.0,3.0
4792,37,87,3,889.800000011921,Pre,image10.jpg,Cut_jazz_2.mp3,Music,1.0,5.0,5.0,1.0,,Cut_jazz_2.mp3,3.0,5.0,-2.0
4792,38,88,2,480.0,Pre,image3.jpg,Classical_17.mp3,Music,1.0,3.0,3.0,1.0,,Classical_17.mp3,2.0,3.0,-1.0
4792,39,89,2,489.400000035763,Pre,image47.jpg,Classical_2.mp3,Image,2.0,2.0,2.0,2.0,image47.jpg,,2.0,2.0,0.0
4792,40,90,2,763.5,Pre,image35.jpg,Classical_6.mp3,Both,1.0,1.0,,,image35.jpg,Classical_6.mp3,1.0,1.0,1.0
4792,41,91,6,1359.19999998808,Pre,image5.jpg,Classical_2.mp3,Both,7.0,2.0,,,image5.jpg,Classical_2.mp3,4.5,4.5,1.5
