participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
4801,54,104,5,843.0,Pre,image34.jpg,Classical_8.mp3,Music,9.0,3.0,3.0,9.0,,Classical_8.mp3,6.0,3.0,2.0
4801,55,105,7,929.0,Pre,image12.jpg,Cut_jazz_1.mp3,Music,9.0,8.0,8.0,9.0,,Cut_jazz_1.mp3,8.5,8.0,-1.0
4801,56,106,8,1007.0,Pre,image34.jpg,Classical_6.mp3,Image,9.0,2.0,9.0,2.0,image34.jpg,,5.5,9.0,-1.0
4801,57,107,1,60.0,Pre,image15.jpg,Cut_jazz_14.mp3,Image,1.0,6.0,1.0,6.0,image15.jpg,,3.5,1.0,0.0
4889,4,432,3,3260.29999999702,Post,image17.jpg,Cut_jazz_7.mp3,Music,8.0,3.0,3.0,8.0,,Cut_jazz_7.mp3,5.5,3.0,0.0
4889,5,433,2,3397.20000000298,Post,image36.jpg,Classical_2.mp3,Image,1.0,4.0,1.0,4.0,image36.jpg,,2.5,1.0,1.0
4889,6,434,3,1794.89999999106,Post,image20.jpg,Cut_jazz_2.mp3,Music,4.0,6.0,6.0,4.0,,Cut_jazz_2.mp3,5.0,6.0,-3.0
4889,7,435,2,1002.29999999702,Post,image35.jpg,Cut_jazz_16.mp3,Music,1.0,5.0,5.0,1.0,,Cut_jazz_16.mp3,3.0,5.0,-3.0
4889,8,436,3,3314.0,Post,image1.jpg,Classical_17.mp3,Image,1.0,2.0,1.0,2.0,image1.jpg,,1.5,1.0,2.0
4889,9,437,1,886.79999999702,Post,image47.jpg,Classical_7.mp3,Image,1.0,6.0,1.0,6.0,image47.jpg,,3.5,1.0,0.0
4889,10,438,5,2290.10000000894,Post,image17.jpg,Cut_jazz_10.mp3,Image,8.0,3.0,8.0,3.0,image17.jpg,,5.5,8.0,-3.0
4889,11,439,2,2093.90000000596,Post,image12.jpg,Classical_17.mp3,Music,1.0,2.0,2.0,1.0,,Classical_17.mp3,1.5,2.0,0.0
4889,12,440,2,966.09999999404,Post,image15.jpg,Cut_jazz_5.mp3,Image,1.0,4.0,1.0,4.0,image15.jpg,,2.5,1.0,1.0
4889,13,441,5,1346.70000000298,Post,image36.jpg,Classical_1.mp3,Music,1.0,2.0,2.0,1.0,,Classical_1.mp3,1.5,2.0,3.0
4889,14,442,4,3562.39999999106,Post,image15.jpg,Cut_jazz_7.mp3,Both,1.0,3.0,,,image15.jpg,Cut_jazz_7.mp3,2.0,2.0,2.0
4889,15,443,3,1456.20000000298,Post,image52.jpg,Classical_8.mp3,Image,4.0,7.0,4.0,7.0,image52.jpg,,5.5,4.0,-1.0
4889,16,444,1,6336.10000000894,Post,image35.jpg,Cut_jazz_19.mp3,Image,1.0,2.0,1.0,2.0,image35.jpg,,1.5,1.0,0.0
4889,17,445,5,886.70000000298,Post,image3.jpg,Cut_jazz_2.mp3,Image,7.0,6.0,7.0,6.0,image3.jpg,,6.5,7.0,-2.0
4889,18,446,2,715.90000000596,Post,image14.jpg,Cut_jazz_7.mp3,Image,5.0,3.0,5.0,3.0,image14.jpg,,4.0,5.0,-3.0
4889,19,447,6,995.59999999404,Post,image52.jpg,Classical_7.mp3,Music,4.0,6.0,6.0,4.0,,Classical_7.mp3,5.0,6.0,0.0
4889,20,448,3,1198.09999999404,Post,image1.jpg,Classical_18.mp3,Both,1.0,5.0,,,image1.jpg,Classical_18.mp3,3.0,3.0,0.0
4889,21,449,3,2920.5,Post,image2.jpg,Cut_jazz_2.mp3,Both,2.0,6.0,,,image2.jpg,Cut_jazz_2.mp3,4.0,4.0,-1.0
4889,22,450,4,1152.60000000894,Post,image47.jpg,Classical_8.mp3,Both,1.0,7.0,,,image47.jpg,Classical_8.mp3,4.0,4.0,0.0
4889,23,451,2,959.600000008941,Post,image12.jpg,Classical_15.mp3,Both,1.0,2.0,,,image12.jpg,Classical_15.mp3,1.5,1.5,0.5
4889,24,452,3,700.899999991059,Post,image20.jpg,Classical_19.mp3,Image,4.0,4.0,4.0,4.0,image20.jpg,,4.0,4.0,-1.0
4889,25,453,4,2981.10000000894,Post,image52.jpg,Classical_6.mp3,Both,4.0,2.0,,,image52.jpg,Classical_6.mp3,3.0,3.0,1.0
4889,26,454,1,2148.89999999106,Post,image4.jpg,Classical_1.mp3,Both,1.0,2.0,,,image4.jpg,Classical_1.mp3,1.5,1.5,-0.5
4889,27,455,7,3057.40000000596,Post,image2.jpg,Classical_19.mp3,Music,2.0,4.0,4.0,2.0,,Classical_19.mp3,3.0,4.0,3.0
4889,28,456,5,730.29999999702,Post,image5.jpg,Classical_8.mp3,Music,6.0,7.0,7.0,6.0,,Classical_8.mp3,6.5,7.0,-2.0
4889,29,457,1,1420.5,Post,image34.jpg,Cut_jazz_16.mp3,Both,1.0,5.0,,,image34.jpg,Cut_jazz_16.mp3,3.0,3.0,-2.0
4889,30,458,1,515.09999999404,Post,image4.jpg,Classical_4.mp3,Image,1.0,4.0,1.0,4.0,image4.jpg,,2.5,1.0,0.0
4889,31,459,2,1089.80000001192,Post,image33.jpg,Cut_jazz_19.mp3,Both,1.0,2.0,,,image33.jpg,Cut_jazz_19.mp3,1.5,1.5,0.5
4889,32,460,7,1366.5,Post,image3.jpg,Classical_19.mp3,Both,7.0,4.0,,,image3.jpg,Classical_19.mp3,5.5,5.5,1.5
4889,33,461,4,1225.79999999702,Post,image14.jpg,Cut_jazz_10.mp3,Both,5.0,3.0,,,image14.jpg,Cut_jazz_10.mp3,4.0,4.0,0.0
4889,34,462,3,1389.40000000596,Post,image39.jpg,Classical_4.mp3,Music,1.0,4.0,4.0,1.0,,Classical_4.mp3,2.5,4.0,-1.0
4889,35,463,1,881.90000000596,Post,image10.jpg,Classical_17.mp3,Both,1.0,2.0,,,image10.jpg,Classical_17.mp3,1.5,1.5,-0.5
4889,36,464,2,1793.29999999702,Post,image33.jpg,Cut_jazz_14.mp3,Music,1.0,2.0,2.0,1.0,,Cut_jazz_14.mp3,1.5,2.0,0.0
4889,37,465,2,734.5,Post,image36.jpg,Classical_4.mp3,Both,1.0,4.0,,,image36.jpg,Classical_4.mp3,2.5,2.5,-0.5
4889,38,466,1,556.5,Post,image34.jpg,Cut_jazz_14.mp3,Image,1.0,2.0,1.0,2.0,image34.jpg,,1.5,1.0,0.0
4889,39,467,1,483.199999988079,Post,image12.jpg,Classical_18.mp3,Image,1.0,5.0,1.0,5.0,image12.jpg,,3.0,1.0,0.0
4889,40,468,3,3588.0,Post,image34.jpg,Cut_jazz_19.mp3,Music,1.0,2.0,2.0,1.0,,Cut_jazz_19.mp3,1.5,2.0,1.0
4889,41,469,2,900.5,Post,image2.jpg,Cut_jazz_1.mp3,Image,2.0,3.0,2.0,3.0,image2.jpg,,2.5,2.0,0.0
4889,42,470,4,2271.0,Post,image1.jpg,Classical_15.mp3,Music,1.0,2.0,2.0,1.0,,Classical_15.mp3,1.5,2.0,2.0
4889,43,471,2,1862.79999999702,Post,image14.jpg,Cut_jazz_5.mp3,Music,5.0,4.0,4.0,5.0,,Cut_jazz_5.mp3,4.5,4.0,-2.0
4889,44,472,7,713.0,Post,image5.jpg,Classical_7.mp3,Both,6.0,6.0,,,image5.jpg,Classical_7.mp3,6.0,6.0,1.0
4889,45,473,1,879.800000011921,Post,image39.jpg,Classical_1.mp3,Image,1.0,2.0,1.0,2.0,image39.jpg,,1.5,1.0,0.0
4889,46,474,5,1327.09999999404,Post,image5.jpg,Classical_6.mp3,Image,6.0,2.0,6.0,2.0,image5.jpg,,4.0,6.0,-1.0
4889,47,475,2,1200.40000000596,Post,image10.jpg,Classical_18.mp3,Music,1.0,5.0,5.0,1.0,,Classical_18.mp3,3.0,5.0,-3.0
4889,48,476,3,4894.80000001192,Post,image3.jpg,Cut_jazz_1.mp3,Music,7.0,3.0,3.0,7.0,,Cut_jazz_1.mp3,5.0,3.0,0.0
4889,49,477,1,1181.70000000298,Post,image33.jpg,Cut_jazz_16.mp3,Image,1.0,5.0,1.0,5.0,image33.jpg,,3.0,1.0,0.0
4889,50,478,3,2388.29999999702,Post,image39.jpg,Classical_2.mp3,Both,1.0,4.0,,,image39.jpg,Classical_2.mp3,2.5,2.5,0.5
