"Prolific_ID","Participant.Device.Type","Trial.Number","Reaction.Time","Response","display","ImageStim","MusicStim","StimCued"
4801,"computer","31",1036,"1","Pre","image17.jpg","Cut_jazz_19.mp3","Image"
4801,"computer","32",1039,"5","Pre","image2.jpg","Classical_18.mp3","Both"
4801,"computer","33",492,"4","Pre","image52.jpg","Classical_4.mp3","Image"
4801,"computer","34",61,"6","Pre","image10.jpg","Cut_jazz_1.mp3","Both"
4801,"computer","35",1035,"9","Pre","image12.jpg","Classical_19.mp3","Both"
4801,"computer","36",857,"3","Pre","image35.jpg","Classical_8.mp3","Image"
4801,"computer","37",449,"5","Pre","image10.jpg","Cut_jazz_2.mp3","Music"
4801,"computer","38",842,"6","Pre","image3.jpg","Classical_17.mp3","Music"
4801,"computer","39",453,"4","Pre","image47.jpg","Classical_2.mp3","Image"
4801,"computer","40",464,"5","Pre","image35.jpg","Classical_6.mp3","Both"
4801,"computer","41",976,"6","Pre","image5.jpg","Classical_2.mp3","Both"
4801,"computer","42",455,"2","Pre","image15.jpg","Cut_jazz_19.mp3","Music"
4801,"computer","43",1025,"9","Pre","image39.jpg","Cut_jazz_7.mp3","Both"
4801,"computer","44",954,"2","Pre","image4.jpg","Cut_jazz_5.mp3","Both"
4801,"computer","45",474,"3","Pre","image47.jpg","Classical_4.mp3","Both"
4801,"computer","46",501,"6","Pre","image3.jpg","Classical_15.mp3","Both"
4801,"computer","47",1020,"9","Pre","image12.jpg","Cut_jazz_2.mp3","Image"
4801,"computer","48",973,"3","Pre","image36.jpg","Cut_jazz_5.mp3","Music"
4801,"computer","49",465,"4","Pre","image10.jpg","Classical_19.mp3","Image"
4801,"computer","50",489,"7","Pre","image34.jpg","Classical_7.mp3","Both"
4801,"computer","51",493,"3","Pre","image52.jpg","Classical_1.mp3","Both"
4801,"computer","52",1048,"9","Pre","image39.jpg","Cut_jazz_5.mp3","Image"
4801,"computer","53",876,"1","Pre","image52.jpg","Classical_2.mp3","Music"
4801,"computer","54",843,"5","Pre","image34.jpg","Classical_8.mp3","Music"
4801,"computer","55",929,"7","Pre","image12.jpg","Cut_jazz_1.mp3","Music"
4801,"computer","56",1007,"8","Pre","image34.jpg","Classical_6.mp3","Image"
