participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
5d847ac9be4b0b00188463d7,21,125,4,1360.0,Post,image2.jpg,Cut_jazz_2.mp3,Both,2.0,2.0,,,image2.jpg,Cut_jazz_2.mp3,2.0,2.0,2.0
5d847ac9be4b0b00188463d7,22,126,2,2266.59999999776,Post,image47.jpg,Classical_8.mp3,Both,1.0,2.0,,,image47.jpg,Classical_8.mp3,1.5,1.5,0.5
5d847ac9be4b0b00188463d7,23,127,3,1189.40000000224,Post,image12.jpg,Classical_15.mp3,Both,1.0,5.0,,,image12.jpg,Classical_15.mp3,3.0,3.0,0.0
5d847ac9be4b0b00188463d7,24,128,9,690.699999999255,Post,image20.jpg,Classical_19.mp3,Image,9.0,5.0,9.0,5.0,image20.jpg,,7.0,9.0,0.0
5d847ac9be4b0b00188463d7,25,129,6,2050.0,Post,image52.jpg,Classical_6.mp3,Both,4.0,6.0,,,image52.jpg,Classical_6.mp3,5.0,5.0,1.0
5d847ac9be4b0b00188463d7,26,130,1,618.199999999255,Post,image4.jpg,Classical_1.mp3,Both,1.0,7.0,,,image4.jpg,Classical_1.mp3,4.0,4.0,-3.0
5d847ac9be4b0b00188463d7,27,131,5,1492.69999999925,Post,image2.jpg,Classical_19.mp3,Music,2.0,5.0,5.0,2.0,,Classical_19.mp3,3.5,5.0,0.0
5d847ac9be4b0b00188463d7,28,132,4,1259.30000000075,Post,image5.jpg,Classical_8.mp3,Music,7.0,2.0,2.0,7.0,,Classical_8.mp3,4.5,2.0,2.0
5d847ac9be4b0b00188463d7,29,133,2,2827.5,Post,image34.jpg,Cut_jazz_16.mp3,Both,1.0,3.0,,,image34.jpg,Cut_jazz_16.mp3,2.0,2.0,0.0
5d847ac9be4b0b00188463d7,30,134,1,733.400000002235,Post,image4.jpg,Classical_4.mp3,Image,1.0,6.0,1.0,6.0,image4.jpg,,3.5,1.0,0.0
5d847ac9be4b0b00188463d7,31,135,3,4794.10000000149,Post,image33.jpg,Cut_jazz_19.mp3,Both,1.0,9.0,,,image33.jpg,Cut_jazz_19.mp3,5.0,5.0,-2.0
5d847ac9be4b0b00188463d7,32,136,6,3124.80000000075,Post,image3.jpg,Classical_19.mp3,Both,5.0,5.0,,,image3.jpg,Classical_19.mp3,5.0,5.0,1.0
5d847ac9be4b0b00188463d7,33,137,5,1062.5,Post,image14.jpg,Cut_jazz_10.mp3,Both,2.0,2.0,,,image14.jpg,Cut_jazz_10.mp3,2.0,2.0,3.0
5d847ac9be4b0b00188463d7,34,138,7,1522.29999999702,Post,image39.jpg,Classical_4.mp3,Music,5.0,6.0,6.0,5.0,,Classical_4.mp3,5.5,6.0,1.0
5d847ac9be4b0b00188463d7,35,139,3,2294.90000000224,Post,image10.jpg,Classical_17.mp3,Both,1.0,5.0,,,image10.jpg,Classical_17.mp3,3.0,3.0,0.0
5d847ac9be4b0b00188463d7,36,140,9,605.300000000745,Post,image33.jpg,Cut_jazz_14.mp3,Music,1.0,9.0,9.0,1.0,,Cut_jazz_14.mp3,5.0,9.0,0.0
5d847ac9be4b0b00188463d7,37,141,3,1120.19999999925,Post,image36.jpg,Classical_4.mp3,Both,1.0,6.0,,,image36.jpg,Classical_4.mp3,3.5,3.5,-0.5
5d847ac9be4b0b00188463d7,38,142,1,998.199999999255,Post,image34.jpg,Cut_jazz_14.mp3,Image,1.0,9.0,1.0,9.0,image34.jpg,,5.0,1.0,0.0
5d847ac9be4b0b00188463d7,39,143,1,899.10000000149,Post,image12.jpg,Classical_18.mp3,Image,1.0,5.0,1.0,5.0,image12.jpg,,3.0,1.0,0.0
